,Date-Time,content,content_type,movie_popularity_factor,children_popularity_factor,adults_popularity_factor,retirees_popularity_factor,movie_budget,box_office_revenue,n_ad_breaks,prime_time_factor,children_baseline_view_count,children_expected_view_count,children_true_view_count_0,children_true_view_count_1,children_true_view_count_2,children_true_view_count_3,children_true_view_count_4,children_true_view_count_5,children_true_view_count_6,children_true_view_count_7,children_true_view_count_8,children_true_view_count_9,adults_baseline_view_count,adults_expected_view_count,adults_true_view_count_0,adults_true_view_count_1,adults_true_view_count_2,adults_true_view_count_3,adults_true_view_count_4,adults_true_view_count_5,adults_true_view_count_6,adults_true_view_count_7,adults_true_view_count_8,adults_true_view_count_9,retirees_baseline_view_count,retirees_expected_view_count,retirees_true_view_count_0,retirees_true_view_count_1,retirees_true_view_count_2,retirees_true_view_count_3,retirees_true_view_count_4,retirees_true_view_count_5,retirees_true_view_count_6,retirees_true_view_count_7,retirees_true_view_count_8,retirees_true_view_count_9,ad_slot_price
64,2024-10-01 12:20:00,Advert,Advert,0.4985920741672533,0.2991552,0.4985921,0.4985921,16000000.0,20036737.0,4.0,1.0,0.0015774946743389,0.0004719157348007,0.0,0.0021622897473132,0.0,0.0002138870280405,0.0,0.0023164463526146,0.0010421371198097,0.0022250888588877,0.0024000790187435,0.0,0.0437993291446758,0.0218379994968351,0.0174841773882824,0.024394743363624,0.0097585176387836,0.019102744788052,0.0184035298582163,0.0189323621070651,0.0191301141783591,0.022536080129139,0.0125916479375175,0.0114423200743447,0.0197087405380714,0.0098266223332321,0.0102609105774763,0.0108354981774765,0.007812621663797,0.0081679406660217,0.0079129675873335,0.0059580165537336,0.0049424275797088,0.0094054608908238,0.0108713759775417,0.0082419728039869,18611.02
70,2024-10-01 12:50:00,Advert,Advert,0.4985920741672533,0.2991552,0.4985921,0.4985921,16000000.0,20036737.0,4.0,1.0,0.0027398828526578,0.0008196502027634,0.0,0.0,0.0016950363119634,0.0010112773142558,0.0002539808575676,0.0004241771176599,0.0,0.0039384429649983,8.202832305568312e-05,0.0,0.0484715861442944,0.0241675499260146,0.0279393089983015,0.0239282708211573,0.017357956718568,0.0140348088345388,0.0287365803150194,0.0179715205674559,0.0260018850472793,0.0168609742212157,0.016370250887162,0.010442647200691,0.0219294632512512,0.0109338571343141,0.0091457562010333,0.0116176200937235,0.009137848923518,0.007758660164376,0.0076825173240112,0.00908336514723,0.0083882822814164,0.0089832458529616,0.0110381403854797,0.0099670130916217,18611.02
76,2024-10-01 13:20:00,Advert,Advert,0.4985920741672533,0.2991552,0.4985921,0.4985921,16000000.0,20036737.0,4.0,1.0,0.0044704911579913,0.0013373706764671,0.0018401392086769,0.0014940343936931,0.0033072507520587,0.0033254999494545,0.0021248075794886,0.000484661409932,0.0008916650375485,0.0017345889349389,0.0014871503956651,0.0009386381151032,0.0532820633785259,0.0265660158722323,0.0212010654793772,0.0241188918644752,0.0117758303780783,0.0167842771410525,0.0263415993351254,0.0363148366849251,0.0319623928091978,0.0298175963206317,0.0099618883880305,0.0183408588553144,0.0240221420692895,0.0119772502608254,0.0117040023229972,0.0129334568876859,0.0092370041083143,0.0074846928031097,0.009092100455977,0.0074490429220104,0.0097570918074005,0.0120092930795029,0.0114562392828607,0.0114897517104121,18611.02
82,2024-10-01 13:50:00,Advert,Advert,0.4985920741672533,0.2991552,0.4985921,0.4985921,16000000.0,20036737.0,4.0,1.0,0.0068522811284073,0.0020498955314249,0.0022668099154622,0.0024358576641807,0.0019374857332097,0.0032359275613225,0.001932811496371,0.0,0.0034177284181771,0.0047111236169757,0.0007951597218223,0.0029685102312941,0.058147984507378,0.0289921257063011,0.0362307117402142,0.0329058832943613,0.0160754059882034,0.0231757906599952,0.0234548016413409,0.0248156087158189,0.0296431915511668,0.0233234341544322,0.0133345799797146,0.0304543305557517,0.0259065643435391,0.0129168083198302,0.0092474764161135,0.0149930848294828,0.0110185117280186,0.0090247068299705,0.0094735886645527,0.0120914199053312,0.0103421783244434,0.0108532985403534,0.0152200926739259,0.0101307896463709,18611.02
89,2024-10-01 14:25:00,Advert,Advert,0.2020182475900509,0.0808073,0.2020182,0.2020182,19000000.0,12918858.0,4.0,1.0,0.0104213068034498,0.0008421176652584,0.0014823613193875,0.0,0.002036667677507,0.0001105805649656,0.0,0.0,0.0009986014349566,0.0008373751837586,0.0,0.0043998121867376,0.063775449370439,0.0128838014860072,0.0208995478620167,0.0146838287063983,0.0039794545958182,0.0076404180136956,0.0112729240050295,0.0123228463508832,0.0124562009884733,0.0175758468631277,0.0111104898367653,0.0110802446310528,0.0277394484799369,0.0056038734509095,0.003179256945607,0.0068663359980714,0.006667428972588,0.0033322008717648,0.005372768851609,0.0048456381903831,0.0037392076713882,0.0059393192161157,0.0034628022628222,0.0047687328741083,18275.66
95,2024-10-01 14:55:00,Advert,Advert,0.2020182475900509,0.0808073,0.2020182,0.2020182,19000000.0,12918858.0,4.0,1.0,0.0139505524289623,0.0011273064752928,0.0009440162776117,0.0035556253485725,0.0002613479173184,0.0004241527308258,0.0012321111622789,0.0,0.0,0.0027490457898753,0.0002503720902498,0.0008604714522654,0.0684487612229496,0.01382789553449,0.0190621215896644,0.0209608721284984,0.0091072619986312,0.0038268600515778,0.0167587562396981,0.0179357514277487,0.0130780736054163,0.0152932141697746,0.0087258974061065,0.0148317361598168,0.0289196737117251,0.00584230042783,0.0049027841207106,0.0053407964101102,0.0059518503833311,0.0064302497077518,0.0056953884854805,0.0041322069205903,0.0025801570089043,0.006394537149734,0.0066366005586459,0.005371985242713,18275.66
101,2024-10-01 15:25:00,Advert,Advert,0.2020182475900509,0.0808073,0.2020182,0.2020182,19000000.0,12918858.0,4.0,1.0,0.0175435397159839,0.0014176460768914,0.0020708362359973,0.0,0.0012796979368196,0.001818076154311,0.0027967654646088,0.0009000182258348,0.0022178723400309,0.0024156232696713,0.0013604752312049,0.0018614021222869,0.0728815729548497,0.0147234041815074,0.0142206441889774,0.0159485500021299,0.0103150638524016,0.0055777523161015,0.0174056092009853,0.0071768459379439,0.0131111213491745,0.0133114463887224,0.01035885196851,0.007954968370994,0.0296826809875893,0.005996441784287,0.0057577862894057,0.0058049188893437,0.0043760092883894,0.0031617633670742,0.0058787203128155,0.0037170597020393,0.0030886475962348,0.0028545321605129,0.0084812182767147,0.0053675980320668,18275.66
107,2024-10-01 15:55:00,Advert,Advert,0.2020182475900509,0.0808073,0.2020182,0.2020182,19000000.0,12918858.0,4.0,1.0,0.0207252433219996,0.0016747509546938,0.0,0.0021640612702662,0.0004560222575699,0.0024360729451108,0.0032822152295085,0.0035445252465906,0.0024455380592671,0.0021117435586901,0.0028394633306799,0.0027754269464798,0.0769782255705415,0.0155510025689547,0.0128168877869467,0.0163834438667557,0.0152535744741088,0.0085261423921565,0.0218757747059345,0.0191770975871577,0.0150127013299061,0.0113255430207142,0.0022639969348145,0.0078631543544813,0.0299934912104549,0.0060592311060519,0.0059718142648367,0.0061375646096892,0.0046182881515594,0.0041054890446051,0.002648589330624,0.004601079280102,0.0056056859526646,0.0064270868748289,0.0042532480490661,0.0064949830385434,18275.66
114,2024-10-01 16:30:00,Advert,Advert,0.8422898804676053,0.6738319,0.8422899,0.336916,170000000.0,386600138.0,5.0,1.0,0.0232615976274322,0.0156744065263281,0.0147572212947317,0.0169217487052267,0.0191553977362115,0.0122641599463428,0.0153995922895627,0.0164617137541537,0.0138427663685072,0.0188415756297977,0.0090143162103298,0.0187727604537254,0.0812106762203037,0.0684029323525319,0.0757084717485718,0.0700371629374466,0.0454708562404878,0.0591196943556503,0.0677161852538224,0.0651330652470987,0.0689091411075349,0.065972223038539,0.0483139709635034,0.063355890016675,0.0297665393216805,0.0100288233621033,0.0124129125973729,0.007166267364441,0.0095881860327874,0.0105841515109958,0.0064905246065499,0.0089776493248538,0.0077093146094097,0.0120227166531732,0.0117039184403815,0.0100281092108037,176784.03
120,2024-10-01 17:00:00,Advert,Advert,0.8422898804676053,0.6738319,0.8422899,0.336916,170000000.0,386600138.0,5.0,1.0,0.024,0.0161719656,0.0143971782293225,0.0195342749891413,0.0182568270264004,0.0087975896713635,0.01680295988155,0.0161906856850947,0.0113341562822271,0.0180163119499613,0.0118915095379536,0.0130168053358723,0.0842734855057819,0.0709827056793165,0.076351746550297,0.0692957587448078,0.0488432836117129,0.0512903423932986,0.0729614717445728,0.0725420781926165,0.0702010773289949,0.063361225071395,0.0548334802841595,0.0665855879520154,0.0290769991177822,0.0097965062347667,0.009454997628273,0.0081686760351824,0.0082932499050575,0.0083503060495738,0.0098145177494897,0.0100320124058493,0.0077267614497146,0.0115040260116314,0.0097014785718926,0.0075059828323374,176784.03
126,2024-10-01 17:30:00,Advert,Advert,0.8422898804676053,0.6738319,0.8422899,0.336916,170000000.0,386600138.0,5.0,1.0,0.0232615976274322,0.0156744065263281,0.0120188611910224,0.0172567158054805,0.0202633857754635,0.0100401441890677,0.0152909290580242,0.0166112052101496,0.0087643283766037,0.017519462316674,0.0100972668655478,0.0152313197013841,0.0867372027834746,0.0730578698587725,0.07717847212328,0.0752885213245413,0.0590363626068566,0.0544490976531761,0.067883271878812,0.073717821642662,0.073317277035485,0.0626140772920244,0.0610235652865682,0.0669830208286342,0.027963078856282,0.0094212086759431,0.0100637610392282,0.0079373569862683,0.0088173072648168,0.0080272016674066,0.0054553719568189,0.0110682614344985,0.0099961807695315,0.0118843250180519,0.0068022403514411,0.008400806028438,176784.03
132,2024-10-01 18:00:00,Advert,Advert,0.8422898804676053,0.6738319,0.8422899,0.336916,170000000.0,386600138.0,5.0,1.5,0.0211799256620302,0.0142717095507046,0.0092238022675766,0.0171299415774135,0.0184018892562292,0.0077536078863123,0.0140390002555602,0.0121390982457471,0.0113049685856855,0.0117973863655106,0.0094688619951421,0.0110735096953569,0.0885419094890869,0.0745779560893721,0.0648140903900815,0.070140899039138,0.0506517589225568,0.056517531600522,0.0689542987204641,0.0742228318463149,0.0741094798687682,0.0683527779364482,0.0597253384671432,0.0725351489550057,0.0264749151963481,0.0089198225282928,0.0083647432396727,0.0063286607017776,0.0109469504195894,0.0111950962606938,0.0068612894659513,0.0107766752611429,0.0089749633631567,0.0090507480978979,0.0104803331463216,0.0071823705378776,265176.05
138,2024-10-01 18:30:00,Advert,Advert,0.8422898804676053,0.6738319,0.8422899,0.336916,170000000.0,386600138.0,5.0,1.5,0.0181161504477361,0.0122072400768839,0.0074988589414076,0.013477166184601,0.017367211942539,0.0072207682317837,0.0153873643624493,0.0107411150073655,0.0064364317753794,0.0116954666801784,0.0110162170069066,0.0075260521971516,0.0896430576896808,0.0755054420971354,0.0654085727202238,0.0785532866094388,0.062165070823682,0.0535316397481865,0.0781500338431695,0.0743790748027495,0.0747686079359192,0.0703775458899871,0.0477848037837403,0.0785782975989508,0.0246773428617176,0.0083141916475984,0.0083030022583307,0.0066913570309925,0.0070159608426267,0.0075684385514287,0.006410955089041,0.007083428479177,0.008479692744856,0.0092823214207612,0.0103141905973366,0.0051074782627908,265176.05
145,2024-10-01 19:05:00,Advert,Advert,1.0,0.4,1.0,1.0,6000000.0,245066411.0,6.0,1.5,0.0139505524289619,0.0055802209715847,0.0018197080551842,0.0042466155029968,0.0094041305975555,0.0040491714618552,0.008207130458911,0.0054520089532786,0.0045708089555815,0.0051474154656349,0.003458507684448,0.0037142298858304,0.0900028951633186,0.0900028951633186,0.0882674314079506,0.09,0.0747420437667898,0.0655374645520412,0.0884519508103016,0.0861892697173995,0.09,0.0760137693655021,0.0708918410475487,0.0895001908389491,0.0222893039838565,0.0222893039838565,0.0218019832557518,0.0188675536485283,0.0202991795700853,0.0206936607560867,0.0167724486019209,0.0232025844904243,0.0223990789898216,0.0243879553457016,0.0195625213073754,0.0190830739072394,80119.92
151,2024-10-01 19:35:00,Advert,Advert,1.0,0.4,1.0,1.0,6000000.0,245066411.0,6.0,1.5,0.0104213068034327,0.0041685227213731,0.0018644412937424,0.0038953415759776,0.006565073803411,0.0006452271477114,0.0079457082343435,0.004405222567958,0.0027847125724125,0.0025384434536289,0.0008200839475683,0.0015184990745894,0.0895097770938818,0.0895097770938818,0.0889225833561322,0.0836019311729239,0.0731767607932817,0.0690813848126773,0.086680820512827,0.09,0.09,0.0734501976000745,0.067821603592617,0.0879805141497201,0.0200843717936118,0.0200843717936118,0.0201535020073154,0.0152592232212849,0.0188163502485456,0.018074432439292,0.0142708590690637,0.0213462898852529,0.0218532638598199,0.0224313513846483,0.0182043224857653,0.0182865582296683,80119.92
157,2024-10-01 20:05:00,Advert,Advert,1.0,0.4,1.0,1.0,6000000.0,245066411.0,6.0,1.5,0.0073132353983151,0.002925294159326,0.0,0.0002754225781088,0.0031185182653137,0.0018631648405759,0.0039049654578738,0.0017416177298361,0.0022651154987231,0.0013117872997203,0.0,0.002132202125,0.0882889841185809,0.0882889841185809,0.088484011924315,0.0836616068902433,0.0818982866447168,0.0656496360893348,0.0827926671035078,0.09,0.09,0.0634794222306911,0.0636260587028121,0.0851112097717464,0.0178170167310956,0.0178170167310956,0.0177568238539436,0.0154883597621462,0.0137452679821497,0.0174207548990824,0.0135379842471641,0.0196578807393928,0.0193025849611252,0.0209525552629979,0.0115424959367271,0.01646588057587,80119.92
163,2024-10-01 20:35:00,Advert,Advert,1.0,0.4,1.0,1.0,6000000.0,245066411.0,6.0,1.5,0.0048211819127894,0.0019284727651157,0.0004226879465928,0.0007038907407514,0.0049069643028159,0.0002741174645669,0.0052284216034681,0.0011929490231563,0.0003116303374323,0.0033595349361899,0.0008503291603044,0.0,0.0863709089903511,0.0863709089903511,0.0877660146515942,0.0805169849768492,0.0747645422887401,0.0683454217171498,0.0871020274434234,0.0872540082904397,0.0895311812412182,0.0694441149443079,0.0660488271589622,0.09,0.0155606471247489,0.0155606471247489,0.0121862750362597,0.0111637999361039,0.0116674787483117,0.0152328756965797,0.0123290011726639,0.0169231673575749,0.0152725324799303,0.018460729244937,0.0117881711709283,0.0140110249227004,80119.92
169,2024-10-01 21:05:00,Advert,Advert,1.0,0.4,1.0,1.0,6000000.0,245066411.0,6.0,1.5,0.0029857543887352,0.001194301755494,0.0007367696660428,0.0002044936628598,0.0005566581587254,0.0026987240336718,0.0,0.0002964301403849,0.00082842722771,0.0029285386491257,0.0018629411912294,0.0011709208797824,0.0838027976232233,0.0838027976232233,0.0794990680618477,0.080909299320002,0.0762936934911233,0.0651883546804607,0.0891928599971203,0.0830343699350421,0.0891033319299999,0.0648169592268032,0.0627420733248352,0.0873217851085767,0.0133794494084351,0.0133794494084351,0.0097522180054075,0.0106129868049256,0.0105871193665326,0.0132937888264033,0.009525418070047,0.0152941987829065,0.0140773861632615,0.0156559943843695,0.0109158389412569,0.0105641051004837,80119.92
175,2024-10-01 21:35:00,Advert,Advert,1.0,0.4,1.0,1.0,6000000.0,245066411.0,6.0,1.5,0.0017370456620457,0.0006948182648182,0.0,0.0009017656279522,0.0013214445648192,0.0,0.0,0.0,0.0,0.0011431798091722,0.0005764879521619,0.0,0.0806469221218476,0.0806469221218476,0.0730004805516845,0.065212180248341,0.0679846249667865,0.0703778495712502,0.0837199707476688,0.0863645902424661,0.0807124124821276,0.0553320349729657,0.0650043529888125,0.0751732043349613,0.0113258541342712,0.0113258541342712,0.0115149835632965,0.0090293740147409,0.0090097033174567,0.0104825975641263,0.0079856596020381,0.0098406384300348,0.0102406727824523,0.0139629104093544,0.0096232422951519,0.0086173013502291,80119.92
188,2024-10-01 22:40:00,Advert,Advert,0.6022874215886633,0.4818299,0.6022874,0.240915,85000000.0,315156409.0,5.0,1.0,0.0004335123220747,0.000208879198794,0.0003309788139678,0.0,0.000968824048052,0.0003026828945582,0.0001156730072572,0.0,0.0,0.0,0.0,0.0,0.0721635633818151,0.0434632049639686,0.0438830529689996,0.0361994880257932,0.0410770357756608,0.038264929576347,0.0380118308790511,0.0437175304633275,0.0489280478472131,0.029464024196177,0.0322737516239819,0.0405751505725162,0.0074830757137409,0.0018027851855759,0.0004844703231983,0.0015899186334899,0.0012115919682487,0.0013301048227713,0.0032122360826513,0.0040350121558757,0.0041346823150855,0.0039300260876155,0.0007598546093486,0.0024223449379678,118837.54
194,2024-10-01 23:10:00,Advert,Advert,0.6022874215886633,0.4818299,0.6022874,0.240915,85000000.0,315156409.0,5.0,1.0,0.0002069209605198,9.970070571520708e-05,0.0011553719482234,0.0,0.0001631733626218,0.0,0.0006290039213147,0.0016373103847963,0.0,0.0011372601889522,0.0,0.0,0.0676839656282931,0.040765199679954,0.0399946975255806,0.0376257167588248,0.037294751850909,0.0299827190246633,0.0421339095914667,0.0403032641024448,0.0447926619136492,0.0281293689669473,0.0336941751680009,0.0400365628002835,0.0060307572408868,0.0014528998806882,0.0019005508534931,0.0019497392270878,0.0,0.0009489166392411,0.0,0.0,0.0003154347114044,0.0022191720677844,0.0011711125412072,0.0010633527964245,118837.54
200,2024-10-01 23:40:00,Advert,Advert,0.6022874215886633,0.4818299,0.6022874,0.240915,85000000.0,315156409.0,5.0,1.0,9.27820833788547e-05,4.4705181956225226e-05,0.0011607386405258,0.0006225516574707,0.000145379971777,0.0006450491317768,0.0,0.0012288120213124,0.0,0.0006794039142599,0.0,0.0,0.0629799737730886,0.0379320446558617,0.0382748317547931,0.0346939789383322,0.033368199577711,0.032000345084186,0.0433430999302875,0.0361588037061756,0.0383198318332576,0.0306125804322833,0.0261910274455897,0.0298581731846438,0.0047869532114019,0.0011532488329249,0.0024181870713394,0.0,0.0017219255709209,0.0004977734974503,0.0016116077564703,0.0014634313486002,0.0026832452971825,0.0027364456113518,0.0,0.002060007510363,118837.54
209,2024-10-02 07:25:00,Advert,Advert,0.9555624850881936,0.9555625,0.9555625,0.382225,379000000.0,1045713802.0,5.0,1.0,0.0137530783611349,0.0131419259414619,0.0097039321025557,0.0172429877203423,0.0132146492386053,0.004467679871369,0.0171588148159213,0.000147499360801,0.0099218245119828,0.0116002889822597,0.0076123991063963,0.0136652658920833,0.0168360173261702,0.0160878668062386,0.018772203887158,0.0142522175964513,0.016198305248217,0.0157782751394754,0.0210569771522156,0.0096024627994439,0.011158327344663,0.0112993115034167,0.0157248243002653,0.0045716772945733,0.0030186980912207,0.0011538218779168,0.0021621463738565,0.0013449850697489,0.0,0.0,0.001653763322552,0.0008406646093706,0.0017116490841308,0.0,0.0006113820163773,0.0008251699668399,435291.31
216,2024-10-02 08:00:00,Advert,Advert,0.5816544706293354,0.5816545,0.3489927,0.3489927,60000000.0,141702264.0,3.0,1.0,0.0090989214628415,0.0052924286140083,0.0033172570237774,0.0117624559162842,0.0044743722045849,0.0015656128082217,0.0110613991271004,0.0002291515469902,0.0043649576220635,0.0043306826266732,0.0050199588497347,0.0062667802948478,0.0176893856680445,0.0061734664656321,0.0114556535585312,0.004923509722,0.0,0.0072319199222244,0.0032733342995319,0.0047403642510186,0.0020087678301288,0.0032599123991536,0.0068978295741968,0.0060611022970263,0.0040701223759358,0.0014204429973082,0.0,0.0016623758988901,0.0009712957237031,0.0008955611328145,0.0006047341275697,0.0028272767059088,0.0,0.0009767576488551,0.0036932049211985,0.0027022330240019,108680.91
